12131A,12132A,12132B,12132D,12132E,12141A,12141C,12141H,12142A,12142B,12142D,12155A,12158A,12160E,12160F,12161A,12161B,12161D,12168,12274A,12274B,12274C,12142M,12143N,12151N,12152A,12152B,12152C,12153D,12153F,12153G,12153H,12153I,12139A,12142G thr,12143A 3rd,12155C,12156A,12156B,12277A,12277B,12281a,12281b,12281G,12281r,12281S,12284A,12284B,12285*1,12286*1,12287A,12287N,12292A,12292B,12292C,12292D,12292N,12293,12296A,12296B,12297A,12297B,12297C,12298B,12298b2,12298c,12298d,12302,12279d,12279G,12279N,12279N414,12279str,12280A,12280B,12280N,12279c
62.13605762,,,,,,96.79193232,,,98.165369,,70.55093612,,,,97.53935206,,,,,,,,,82.50617984,,,,,,,,,,,,61.40212253,99.04695392,86.81374824,,,92.09411765,53.2088882,,,,,,91.514141,66.71987841,,98.52688721,,77.77397672,,,,,,,,,71.82208412,,,,,,71.27266212,,,,,75.97611846,96.02704098,93.39032582,78.84779902
63.46876833,,,,,,99.2940924,,,100,,71.01823369,,,,98.87845519,,,,,,,,,84.04942328,,,,,,,,,,,,61.9264664,100,87.37323315,,,92.88446215,53.69173274,,,,,,92.75836281,67.98081862,,100,,79.43406744,,,,,,,,,73.42045576,,,,,,72.16851198,,,,,76.32878415,98.29382733,94.58978497,81.02650596
64.07389722,,,,,,100,,,,,71.48553126,,,,100,,,,,,,,,85.29109833,,,,,,,,,,,,62.45081026,,88.2076953,,,93.43426295,54.5192317,,,,,,93.04559903,68.45689429,,,,80.21017542,,,,,,,,,74.70314459,,,,,,73.34558535,,,,,77.85861302,99.42217882,95.41621233,81.5339136
66.12086062,,,,,,,,,,,71.83629082,,,,,,,,,,,,,87.37161169,,,,,,,,,,,,62.97515413,,88.65140856,,,94.08164987,54.71236951,,,,,,93.36612299,69.41072271,,,,82.28580797,,,,,,,,,75.69551109,,,,,,74.2885852,,,,,80.90761718,100,97.15978977,82.54872889
66.68956648,,,,,,,,,,,72.03706306,,,,,,,,,,,,,87.94991342,,,,,,,,,,,,63.49949799,,91.20447838,,,94.4421842,55.84531593,,,,,,94.2263522,70.20407735,,,,83.37876387,,,,,,,,,76.57761464,,,,,,75.40499224,,,,,82.06490103,,98.94414882,83.19374549
67.25827234,,,,,,,,,,,74.6298429,,,,,,,,,,,,,88.71247267,,,,,,,,,,,,64.02384186,,94.05736712,,,95.01963909,56.98357363,,,,,,94.52224324,70.84544835,,,,83.97617356,,,,,,,,,77.88301763,,,,,,76.46335241,,,,,83.11466083,,99.64986697,84.61915504
67.8269782,,,,,,,,,,,75.11409423,,,,,,,,,,,,,89.82141136,,,,,,,,,,,,64.54818572,,94.7604339,,,95.4317319,57.7712862,,,,,,96.27613735,72.93265552,,,,85.4373463,,,,,,,,,78.49707197,,,,,,77.2059124,,,,,84.71555002,,100,85.73545186
68.39568407,,,,,,,,,,,75.78544787,,,,,,,,,,,,,91.07673797,,,,,,,,,,,,65.07252959,,95.96689649,,,96.00918678,58.26774695,,,,,,96.8304892,73.10958545,,,,86.93731898,,,,,,,,,79.90358608,,,,,,78.11768848,,,,,85.51149156,,,86.55958336
68.96438993,,,,,,,,,,,76.3433946,,,,,,,,,,,,,91.64570728,,,,,,,,,,,,65.59687345,,97.58035663,,,96.58664167,59.0732282,,,,,,97.68628005,75.16503328,,,,87.48379693,,,,,,,,,88.766301,,,,,,79.11517276,,,,,88.10294192,,,87.44369044
69.53309579,,,,,,,,,,,77.85189745,,,,,,,,,,,,,93.05374627,,,,,,,,,,,,66.12121732,,98.17796339,,,97.04823061,59.63960484,,,,,,98.65229031,76.75352445,,,,88.14459807,,,,,,,,,89.31761572,,,,,,79.95779552,,,,,89.11349224,,,87.90238695
